"filename", "language", "C++", "XML", "comment", "blank", "total"
"/home/toniobtz/Air-Compass/rsc/airplanes/1.svg", "XML", 0, 62, 1, 1, 64
"/home/toniobtz/Air-Compass/rsc/airplanes/2.svg", "XML", 0, 62, 1, 1, 64
"/home/toniobtz/Air-Compass/rsc/airplanes/3.svg", "XML", 0, 62, 1, 1, 64
"/home/toniobtz/Air-Compass/rsc/airplanes/4.svg", "XML", 0, 62, 1, 1, 64
"/home/toniobtz/Air-Compass/rsc/airplanes/5.svg", "XML", 0, 62, 1, 1, 64
"/home/toniobtz/Air-Compass/src/audio.cpp", "C++", 298, 0, 93, 78, 469
"/home/toniobtz/Air-Compass/src/audio.h", "C++", 34, 0, 91, 18, 143
"/home/toniobtz/Air-Compass/src/database.h", "C++", -1, 0, 1, 0, 0
"/home/toniobtz/Air-Compass/src/gamewindow.cpp", "C++", 59, 0, 3, 9, 71
"/home/toniobtz/Air-Compass/src/gamewindow.h", "C++", 7, 0, 1, 2, 10
"/home/toniobtz/Air-Compass/src/handle_terminal.cpp", "C++", 52, 0, 1, 13, 66
"/home/toniobtz/Air-Compass/src/handle_terminal.h", "C++", 6, 0, 0, 3, 9
"/home/toniobtz/Air-Compass/src/main.cpp", "C++", 1, 0, 1, -1, 1
"Total", "-", 456, 310, 196, 127, 1089